id;clave;nombre;tipodoctoid;direccion;formapagoid;mismocorte;traslado;concepto;reversionabono;montoocuenta;clasedoctocorte;importecambio
71;ingresodepositoter_od;ingresodepositoter_od;null;I;21;N;NA;NA;NA;M;N;NA
72;egresoefectivo_od;egresoefectivo_od;null;E;1;N;NA;NA;NA;M;N;NA
73;egresotarjeta_od;egresotarjeta_od;null;E;2;N;NA;NA;NA;M;N;NA
74;egresocheque_od;egresocheque_od;null;E;3;N;NA;NA;NA;M;N;NA
75;egresocredito_od;egresocredito_od;null;E;4;N;NA;NA;NA;M;N;NA
76;egresovale_od;egresovale_od;null;E;5;N;NA;NA;NA;M;N;NA
77;egresomonedero_od;egresomonedero_od;null;E;14;N;NA;NA;NA;M;N;NA
78;egresotransferencia_od;egresotransferencia_od;null;E;15;N;NA;NA;NA;M;N;NA
79;egresonoidentificado_od;egresonoidentificado_od;null;E;16;N;NA;NA;NA;M;N;NA
80;egresodeposito_od;egresodeposito_od;null;E;20;N;NA;NA;NA;M;N;NA
81;egresodepositoter_od;egresodepositoter_od;null;E;21;N;NA;NA;NA;M;N;NA
82;cancelacionefectivo;cancelacionefectivo;23;NA;1;NA;NA;NA;NA;M;N;NA
83;devolucionefectivo;devolucionefectivo;22;NA;1;NA;NA;NA;NA;M;N;NA
84;cancelaciontarjeta;cancelaciontarjeta;23;NA;2;NA;NA;NA;NA;M;N;NA
85;devoluciontarjeta;devoluciontarjeta;22;NA;2;NA;NA;NA;NA;M;N;NA
86;cancelacioncheque;cancelacioncheque;23;NA;3;NA;NA;NA;NA;M;N;NA
87;devolucioncheque;devolucioncheque;22;NA;3;NA;NA;NA;NA;M;N;NA
88;cancelacioncredito;cancelacioncredito;23;NA;4;NA;NA;NA;NA;M;N;NA
89;devolucioncredito;devolucioncredito;22;NA;4;NA;NA;NA;NA;M;N;NA
90;cancelacionvale;cancelacionvale;23;NA;5;NA;NA;NA;NA;M;N;NA
91;devolucionvale;devolucionvale;22;NA;5;NA;NA;NA;NA;M;N;NA
92;cancelacionmonedero;cancelacionmonedero;23;NA;14;NA;NA;NA;NA;M;N;NA
93;devolucionmonedero;devolucionmonedero;22;NA;14;NA;NA;NA;NA;M;N;NA
94;cancelaciontransferencia;cancelaciontransferencia;23;NA;15;NA;NA;NA;NA;M;N;NA
95;devoluciontransferencia;devoluciontransferencia;22;NA;15;NA;NA;NA;NA;M;N;NA
96;cancelacionnoidentificado;cancelacionnoidentificado;23;NA;16;NA;NA;NA;NA;M;N;NA
97;devolucionindefinido;devolucionindefinido;22;NA;16;NA;NA;NA;NA;M;N;NA
98;cancelaciondeposito;cancelaciondeposito;23;NA;20;NA;NA;NA;NA;M;N;NA
99;devoluciondeposito;devoluciondeposito;22;NA;20;NA;NA;NA;NA;M;N;NA
100;cancelaciondeptercero;cancelaciondeptercero;23;NA;21;NA;NA;NA;NA;M;N;NA
101;devoluciondeptercero;devoluciondeptercero;22;NA;21;NA;NA;NA;NA;M;N;NA
102;ingresoefectivoventa;ingresoefectivoventa;21;I;1;NA;NA;NA;NA;M;N;NA
